Item,Description,Category,Serves,Price,Vendor,Ingredients,Diet
Chana Masala,Chickpeas simmered in a spiced tomato-onion gravy,Indian,15,120,Saffron Eats,chickpeas; tomato; onion; garam masala; ginger,vegan; gluten-free
Pad Thai,"Rice noodles with tofu, peanuts, and tamarind",Thai,12,132,Bamboo Table,rice noodles; tofu; peanut; tamarind; bean sprouts,vegetarian
Green Curry Chicken,Coconut green curry with chicken and thai basil,Thai,12,144,Bamboo Table,chicken; coconut milk; green curry paste; thai basil,gluten-free; dairy-free
Smoked Brisket Platter,Slow-smoked brisket with pickles and toast,American,20,260,Fireside BBQ,brisket; pickles; toast; bbq sauce,
BBQ Pulled Pork Sliders,Slow-cooked pork on brioche with slaw,American,24,168,Fireside BBQ,pork; brioche; cabbage; bbq sauce,
Eggplant Parmesan,Breaded eggplant with marinara and mozzarella,Italian,12,120,Bella Provisions,eggplant; marinara; mozzarella; parmesan; basil,vegetarian
Street Corn Elote,"Grilled corn with cotija, lime, and chili",Mexican,15,75,Austin Taco Co.,corn; cotija; lime; chili; mayonnaise,vegetarian; gluten-free
Garlic Parmesan Fries,Crispy fries tossed with garlic and parmesan,American,15,60,Harbor Deli,potato; garlic; parmesan; parsley,vegetarian
Chocolate Chip Cookies,Fresh-baked cookies with dark chocolate,Dessert,24,72,Sweet Tooth,flour; butter; dark chocolate; brown sugar; eggs,vegetarian
Fruit & Cheese Board,Seasonal fruit with artisan cheeses and crackers,American,15,150,Harvest Table,grapes; brie; cheddar; crackers; almonds,vegetarian
Tiramisu Cups,Espresso-soaked ladyfingers with mascarpone,Italian,12,96,Bella Provisions,ladyfingers; mascarpone; espresso; cocoa,vegetarian
